Rol;dvRol;Rut;Dv;Nombre;Calle;Numero;Aclara;Pat_cTIPOPATTE;InicioActividad;CasaMatriz;Giro;Provisoria;IngProvisoria;Vencimiento;EstadoLic;CODIGO SII;ACTIVIDAD SII;Monto_Patente;EstadoPago
870605;0;76407572;2;CARLOS ANDRES OYARCE CAROCA MATERIALES PARA LA CONSTRUCCION E.I.R.L;ESTADO;25;OFICINA;COMERCIAL;17-02-2015;CASA MATRIZ ;OFICINA DE VENTA DE MATERIALES PARA LA CONSTRUCCION;PROVISORIA;19-10-2015;18-10-2016;VIGENTE;514320;VENTA AL POR MAYOR DE MATERIALES DE CONSTRUCCIÓN, ARTÍCULOS DE FERRETERÍA Y RELACIONADOS;22293;GIRADO
867698;4;76407626;5;SSEI CHILE SPA;VILLAVICENCIO;361;OFICINA;COMERCIAL;02-03-2015;CASA MATRIZ ;OFICINA ADMINISTRATIVA DE SEGURIDAD E IMAGEN PARA CAJEROS AUTOMATICOS, OFICINA DE SERVICIOS INTEGRALES DE SEGURIDAD;DEFINITIVA;01-07-2015;30-06-2016;VIGENTE;741400;ACTIVIDADES DE ASESORAMIENTO EMPRESARIAL Y EN MATERIA DE GESTIÓN;22293;PAGADO
860934;9;76407847;0;TIENDA CLINICA VET LTDA;CONDOR;1021;LOCAL;COMERCIAL;19-08-2014;CASA MATRIZ ;COMPRA VENTA ACCESORIOS Y ALIMENTOS VETERINARIOS, PELUQUERIA CANINA-FELINA Y CONSULTAS VETERINARIA SIN RAYOS X;DEFINITIVA;20-08-2014;20-08-2015;VIGENTE;852010;ACTIVIDADES DE CLÍNICAS VETERINARIAS;54184;PAGADO
867793;K;76407847;0;TIENDA CLINICA VET LTDA;SANTA ROSA;274;LOCAL;COMERCIAL;19-08-2014;SUCURSAL EN LA COMUNA ;COMPRA VENTA DE ALIMENTOS Y ACCESORIOS PARA MASCOTAS Y PELUQUERIA CANINA Y FELINA;PROVISORIA;06-07-2015;05-07-2016;VIGENTE;522060;VENTA AL POR MENOR DE ALIMENTOS PARA MASCOTAS Y ANIMALES EN GENERAL;61616;GIRADO
864112;9;76407965;5;IMPORTADORA Y DISTRIBUIDORA SEVERAL LIMITADA;INTENDENTE COUSIÑO;9;DEPTO;COMERCIAL;29-08-2014;CASA MATRIZ ;DOMICILIO POSTAL TRIBUTARIO DE IMPORTACION Y COMERCIALIZACION DE PRODUCTOS;DEFINITIVA;21-01-2015;21-01-2016;VIGENTE;525130;VENTA AL POR MENOR EN EMPRESAS DE VENTA A DISTANCIA VÍA INTERNET;69046;GIRADO
861059;2;76407976;0;INVERSIONES ALIRKOM SPA;CONDOR;1107;DEPTO;COMERCIAL;19-08-2014;CASA MATRIZ ;DOMICILIO POSTAL TRIBUTARIO DE VENTA DE VESTIMENTA CORPORATIVA Y SEGURIDAD INDUSTRIAL;DEFINITIVA;25-08-2014;25-08-2015;VIGENTE;521900;VENTA AL POR MENOR DE OTROS PRODUCTOS EN PEQUENOS ALMACENES NO ESPECIALIZADOS;22293;GIRADO
861168;8;76407996;5;GRUPO KAPITAL HUMANO OUTSOURCING SPA;BANDERA;620;OFICINA;COMERCIAL;25-08-2014;CASA MATRIZ ;OFICINA ADMINISTRATIVA DE LABORES DE SOPORTE ADMINISTRATIVO, SERVICIOS INTEGRALES DE SEGURIDAD,TAREAS DE RECLUTAMIENTO, SELECCION Y CONTRATACION DE PERSONAL;DEFINITIVA;28-08-2014;28-08-2015;VIGENTE;749190;SERVICIOS DE RECLUTAMIENTO DE PERSONAL;69046;GIRADO
868509;6;76408095;5;SERV. ODONTOLOGICO CARLOS R.GARAY SEPULVEDA  EIRL.;SIERRA BELLA;1297;LOCAL;COMERCIAL;26-08-2014;CASA MATRIZ ;SALA DE PROCEDIMIENTOS ODONTOLOGICO Y VENTA DE INSUMOS;DEFINITIVA;04-08-2015;03-08-2016;VIGENTE;851222;CENTROS DE ATENCIÓN ODONTOLÓGICA;69046;GIRADO
865613;4;76408107;2;TRANSPORTES CARLOS ROBERTO GARAY SEPÚLVEDA E.I.R.L;SIERRA BELLA;1297;LOCAL;COMERCIAL;26-08-2014;CASA MATRIZ ;OFICINA ADMINISTRATIVA DE SERVICIO DE TRANSPORTES;DEFINITIVA;27-03-2015;26-03-2016;VIGENTE;602300;TRANSPORTE DE CARGA POR CARRETERA;78917;GIRADO
863449;1;76408112;9;NARDOS EXPRESS EIRL;EST. METRO U. DE CHILE;0;LOCAL;COMERCIAL;18-08-2014;CASA MATRIZ ;SERVICIOS DE PELUQUERIA A PUBLICO EN GENERAL;DEFINITIVA;16-12-2014;16-12-2015;VIGENTE;930200;PELUQUERÍAS Y SALONES DE BELLEZA;123628;GIRADO
861069;K;76408134;K;MATCH PRODUCCIONES LTDA.;HUERFANOS;1160;OFICINA;COMERCIAL;18-08-2014;CASA MATRIZ ;DOMICILIO POSTAL DE PRODUCTORA DE EVENTOS;DEFINITIVA;25-08-2014;25-08-2015;VIGENTE;924190;OTRAS ACTIVIDADES RELACIONADAS AL DEPORTE N.C.P.;22293;PAGADO
868905;9;76408154;4;D-TECH SPA;SAN ANTONIO;378;OFICINA;COMERCIAL;18-08-2014;CASA MATRIZ ;OFICINA ADMINISTRATIVA COMERCIO DE COMPUTADORAS SOFTWARE Y SUMINISTROS, VENTA INTERNET, FABRICACION DE COMPONENTES ELECTRONICOS;DEFINITIVA;19-08-2015;18-08-2016;VIGENTE;749990;OTRAS ACTIVIDADES EMPRESARIALES N.C.P.;22293;PAGADO
871174;7;76408205;2;COMERC. JIMENA PATRICIA ZUNIGA JARA E.I.R.L;PLACER;932;LOCAL;COMERCIAL;02-11-2015;CASA MATRIZ ;COMERCIALIZACION DE VESTUARIO Y ACCESORIOS;DEFINITIVA;05-11-2015;04-11-2016;VIGENTE;523220;VENTA AL POR MENOR DE PRENDAS DE VESTIR EN GENERAL, INCLUYE ACCESORIOS;22293;PAGADO
861043;6;76408244;3;COMERCIALIZADORA DOCTOR HEALTH LTDA.;AHUMADA;11;OFICINA;COMERCIAL;22-08-2014;CASA MATRIZ ;DOMICILIO POSTAL TRIBUTARIO DE COMERCIALIZADORA DE INSUMOS Y EQUIPOS MEDICOS;DEFINITIVA;22-08-2014;22-08-2015;VIGENTE;525130;VENTA AL POR MENOR EN EMPRESAS DE VENTA A DISTANCIA VÍA INTERNET;22293;GIRADO
871042;2;76408283;4;INVERSIONES AQUAVIVA SPA;DIAGONAL PARAGUAY;490;OFICINA;COMERCIAL;27-08-2014;CASA MATRIZ ;OFICINA ADMINSTRATIVA DE COMPRA, VENTA Y ARRIENDO DE INMUEBLES;PROVISORIA;02-11-2015;01-11-2016;VIGENTE;701009;COMPRA, VENTA Y ALQUILER (EXCEPTO AMOBLADOS) DE INMUEBLES PROPIOS O ARRENDADOS;22293;PAGADO
856778;6;76408340;7;INET- BRECHT LTDA.;SAN IGNACIO;177;DEPTO;COMERCIAL;03-01-2014;CASA MATRIZ ;ACTIVIDADES ARTISTICAS;DEFINITIVA;13-01-2014;13-01-2015;VIGENTE;921430;ACTIVIDADES ARTÍSTICAS  FUNCIONES DE ARTISTAS, ACTORES, MÚSICOS, CONFERENCISTAS, OTROS;98651;PAGADO
862277;9;76408346;6;CASTAÑEDA LIMITADA;AHUMADA;11;OFICINA;COMERCIAL;19-08-2014;CASA MATRIZ ;DOMICILIO POSTAL TRIBUTARIO DE IMPORTADORA Y EXPORTADORA DE PRODUCTOS AGRICOLAS;DEFINITIVA;21-10-2014;21-10-2015;VIGENTE;519000;VENTA AL POR MAYOR DE OTROS PRODUCTOS N.C.P.;22293;GIRADO
861730;9;76408462;4;LIBEDINSKY SERVICIOS DE GESTION E.I.R.L.;AGUSTINAS;853;OFICINA;COMERCIAL;03-09-2014;CASA MATRIZ ;DOMICILIO POSTAL TRIBUTARIO DE ASESORIAS ECONOMICAS, FINANCIERAS Y ADMINISTRATIVAS;DEFINITIVA;25-09-2014;25-09-2015;VIGENTE;741400;ACTIVIDADES DE ASESORAMIENTO EMPRESARIAL Y EN MATERIA DE GESTIÓN;23526;PAGADO
863037;2;76408531;0;PHONESERVICE E.I.R.L;PLACER;663;LOCAL;COMERCIAL;25-08-2014;CASA MATRIZ ;SERVICIO TECNICO DE COMPUTADORAS Y TELEFONOS MOVILES, COMPRA Y VENTA DE COMPUTADORES Y TELEFONOS MOVILES, VENTA DE ACCESORIOS PARA TELEFONOS MOVILES Y COMPUTADORES;DEFINITIVA;25-11-2014;25-11-2015;VIGENTE;523930;COMERCIO AL POR MENOR DE COMPUTADORAS, SOFTWARES Y SUMINISTROS;22293;PAGADO
865936;2;76408654;6;IMPRESION Y PUBLIC LUIS AURELIO AGUILA VARGAS EIRL;CARMEN;837;PISO;COMERCIAL;19-08-2014;CASA MATRIZ ;IMPRESION DIGITAL Y PUBLICIDAD;PROVISORIA;15-04-2015;14-04-2016;VIGENTE;222200;ACTIVIDADES DE SERVICIO RELACIONADA CON LA IMPRESIÓN;69046;PAGADO
863140;9;76408688;0;WINERY TIERRA DEL FUEGO LIMITADA;ESTADO;359;PISO;COMERCIAL;27-08-2012;CASA MATRIZ ;OFICINA ADMINISTRATIVA COMERCIALIZACIÓN Y EXPORTACIÓN DE VINOS;DEFINITIVA;01-12-2014;01-12-2015;VIGENTE;512240;MAYORISTAS DE VINOS Y BEBIDAS ALCOHÓLICAS Y DE FANTASÍA;22293;PAGADO
861930;1;76408721;6;LIBRERIA L A REAL LIMITADA;SAN DIEGO;2075;PISO;COMERCIAL;27-08-2014;CASA MATRIZ;LIBRERIA;DEFINITIVA;03-10-2014;03-10-2015;VIGENTE;523924;COMERCIO DE ARTÍCULOS DE SUMINISTROS DE OFICINAS Y ARTÍCULOS DE ESCRITORIO EN GENERAL;315838;PAGADO
861929;8;76408728;3;INMOBILIARIA BENITO E HIJOS LIMITADA;SAN DIEGO;2075;PISO;COMERCIAL;27-08-2014;CASA MATRIZ ;COMPRA, VENTA Y ALQUILER (EXCEPTO AMOBLADOS) DE INMUEBLES PROPIOS O ARRENDADOS;DEFINITIVA;03-10-2014;03-10-2015;VIGENTE;701009;COMPRA, VENTA Y ALQUILER (EXCEPTO AMOBLADOS) DE INMUEBLES PROPIOS O ARRENDADOS;470358;PAGADO
861616;7;76408768;2;COMERCIALIZADORA FEILONG CAI EIRL;HUERFANOS;1160;OFICINA;COMERCIAL;28-08-2014;CASA MATRIZ ;OFICINA ADMINISTRATIVA DE COMERCIALIZADORA AL POR MAYOR DE PRENDAS DE VESTIR;DEFINITIVA;22-09-2014;22-09-2015;VIGENTE;513100;VENTA AL POR MAYOR DE PRODUCTOS TEXTILES, PRENDAS DE VESTIR Y CALZADO;22293;GIRADO
868740;4;76408769;0;INVERSIONES ARRWALL SPA;GARCIA REYES;1061;OFICINA;COMERCIAL;28-08-2014;CASA MATRIZ ;SERVICIO DE DISTRIBUCION DE CORRESPONDENCIA;PROVISORIA;12-08-2015;12-02-2016;VIGENTE;641100;ACTIVIDADES POSTALES NACIONALES;69046;GIRADO
863491;2;76408786;0;DISTRIBUIDORA LODIPACK SPA;MATIAS COUSIÑO;82;OFICINA;COMERCIAL;09-09-2014;CASA MATRIZ ;DOMICILIO POSTAL TRIBUTARIO DE DISTRIBUCIÓN DE ARTICULOS DE ASEO VIRTUAL;DEFINITIVA;16-12-2014;16-12-2015;VIGENTE;525990;OTROS TIPOS DE VENTA AL POR MENOR NO REALIZADA EN ALMACENES N.C.P.;22293;PAGADO
869924;0;76408825;5;SOCIEDAD DE INVERSIONES AMS SPA;MERCED;838;OFICINA;COMERCIAL;29-08-2014;CASA MATRIZ ;OFICINA ADMINISTRATIVA DE FOTOGRAFIAS Y VIDEOS;DEFINITIVA;28-09-2015;27-09-2016;VIGENTE;749402;ACTIVIDADES DE FOTOGRAFÍA PUBLICITARIA;22293;PAGADO
867669;0;76408862;K;ASESORIAS E INVERSIONES SANTA LOURDES LTDA.;MIRAFLORES;222;OFICINA;COMERCIAL;29-08-2014;CASA MATRIZ ;OFICINA SERVICIOS JURIDICOS;DEFINITIVA;30-06-2015;29-06-2016;VIGENTE;741110;SERVICIOS JURÍDICOS;22293;PAGADO
861377;K;76408964;2;ASISTENCIA JURIDICA Y HABITACIONAL LEX HABITA LTDA;HUERFANOS;1055;OFICINA;COMERCIAL;01-09-2014;CASA MATRIZ ;OFICINA ADMINISTRATIVA DE ASISTENCIA JUDICIAL Y HABITACIONAL;DEFINITIVA;04-09-2014;04-09-2015;VIGENTE;741400;ACTIVIDADES DE ASESORAMIENTO EMPRESARIAL Y EN MATERIA DE GESTIÓN;69046;GIRADO
870252;7;76409026;8;SERVICIOS INFORMATICOS CUBESOA EIRL;SAN ANTONIO;378;OFICINA;COMERCIAL;02-09-2014;CASA MATRIZ ;OFICINA DE SERVICIOS INTEGRALES INFORMATICOS;DEFINITIVA;07-10-2015;06-10-2016;VIGENTE;726000;EMPRESAS DE SERVICIOS INTEGRALES DE INFORMÁTICA;22293;PAGADO
862482;8;76409039;K;JOSE ORLANDO SILVA AVILA DIST.Y COMER.EIRL.;BASCUÑAN GUERRERO;245;LOCAL;COMERCIAL;08-09-2014;CASA MATRIZ ;COMPRA VENTA DE ARTICULOS IMPRESOS;DEFINITIVA;29-10-2014;29-10-2015;VIGENTE;519000;VENTA AL POR MAYOR DE OTROS PRODUCTOS N.C.P.;69046;PAGADO
868102;3;76409073;K;W & L APARTMENTS LTDA.;DOCTOR SOTERO DEL RIO;508;OFICINA;COMERCIAL;02-09-2014;CASA MATRIZ ;OFICINA ARRIENDO DE INMUEBLES;DEFINITIVA;21-07-2015;20-07-2016;VIGENTE;702000;CORREDORES DE PROPIEDADES;69046;PAGADO
869190;8;76409084;5;inversiones coimbra 102 ltda.;ALAMEDA L. BERNARDO OHIGGINS;2259;PISO;COMERCIAL;02-09-2014;CASA MATRIZ ;OFICINA ADMINISTRATIVA Y RENTISTAS DE CAPITALES MOBILIARIOS;DEFINITIVA;28-08-2015;27-08-2016;VIGENTE;659920;SOCIEDADES DE INVERSIÓN Y RENTISTAS DE CAPITALES MOBILIARIOS EN GENERAL;22293;PAGADO
861798;8;76409087;K;WIILD  HIIT;MATIAS COUSIÑO;150;OFICINA;COMERCIAL;02-09-2014;CASA MATRIZ ;DOMICILIO POSTAL TRIBUTARIO DE ENTRENAMIENTOS ONLINE Y VENTA DE IMPLEMENTOS DEPORTIVOS;DEFINITIVA;26-09-2014;26-09-2015;VIGENTE;525120;VENTA AL POR MENOR EN EMPRESAS DE VENTA A DISTANCIA VÍA TELEFÓNICA;22293;GIRADO
865611;8;76409153;1;CENTEN  SPA;HUERFANOS;1055;OFICINA;COMERCIAL;03-09-2014;CASA MATRIZ ;OFICINA ADMINISTRATICA DE ELABORACION DE BEBIDAS ANALCOHOLICAS;PROVISORIA;27-03-2015;26-03-2016;VIGENTE;155410;ELABORACIÓN DE BEBIDAS NO ALCOHÓLICAS;22293;GIRADO
873361;9;76409212;0;DISTRIBUIDORA DE COMBUSTIBLES G Y S LIMITADA;ABDON CIFUENTES;36;PISO;COMERCIAL;01-09-2014;CASA MATRIZ ;OFCINA ADMINISTRATIVA DE VENTA DE COMBUSTIBLES AL POR MENOR.;PROVISORIA;15-01-2016;14-01-2017;VIGENTE;505000;VENTA AL POR MENOR DE COMBUSTIBLE PARA AUTOMOTORES;22866;PAGADO
861484;9;76409266;K;TRANSPORTES ANA LUISA CABELLO SILVA EIRL;HUERFANOS;1160;OFICINA;COMERCIAL;04-09-2014;CASA MATRIZ ;OFICINA ADMINISTRATIVA DE TRANSPORTE DE CARGA POR CARRETERA, MOVIMIENTO DE TIERRA Y OBRAS MENORES;DEFINITIVA;10-09-2014;10-09-2015;VIGENTE;602300;TRANSPORTE DE CARGA POR CARRETERA;63600;PAGADO
861548;9;76409272;4;ASESORIAS INTEGRALES EN PREVENCION DE RIESGO LTDA;HUERFANOS;1160;DEPTO;COMERCIAL;04-09-2014;CASA MATRIZ ;DOMICILIO POSTAL TRIBUTARIO DE SERVICIOS DE INGENIERIA, ASESORIAS, CAPACITACION Y EDUCACION EN PREVENCION DE RIESGO;DEFINITIVA;15-09-2014;15-09-2015;VIGENTE;742141;SERVICIOS DE INGENIERÍA PRESTADOS POR EMPRESAS N.C.P.;22293;PAGADO
862956;0;76409303;8;RESTAURANTES Y OTROS. MAPORT LIMITADA;FRAY CAMILO HENRIQUEZ;776;LOCAL;COMERCIAL;04-09-2014;CASA MATRIZ ;CAFETERIA, EXPENDIO DE BEBIDAS ANALCOHOLICAS ENVASADAS DE FABRICAS AUTORIZADAS, AL PASO;DEFINITIVA;21-11-2014;21-11-2015;VIGENTE;552090;SERVICIOS DE OTROS ESTABLECIMIENTOS QUE EXPENDEN COMIDAS Y BEBIDAS;69046;PAGADO
862332;5;76409309;7;"""ECUA - MASA""";SERRANO;131;LOCAL;COMERCIAL;04-09-2014;SUCURSAL EN LA COMUNA ;EXPENDIO DE PASTELES, EMPANADAS, MASAS DULCES, PAN DE FABRICAS AUTORIZADAS, ALIMENTOS CONGELADOS, BEBIDAS ANALCOHOLICAS, CONFITES,HELADOS ENV. DE FAB. AUT., TE Y CAFE EN TERMOS SELLADOS, MAQ. AUTOMATICAS DE EXPENDIO DE TE Y CAFE;DEFINITIVA;22-10-2014;22-10-2015;VIGENTE;154990;ELABORACIÓN DE OTROS PRODUCTOS ALIMENTICIOS NO CLASIFICADOS EN OTRA PARTE;50806;PAGADO
866625;3;76409309;7;"""ECUA - MASA""";SANTA ROSA;35;LOCAL;COMERCIAL;04-09-2014;SUCURSAL EN LA COMUNA ;EXPENDIO DE PASTELES, EMPANADAS, MASAS DULCES HORNEADAS, PAN DE FABRICAS AUTORIZADAS, ALIMENTOS CONGELADOS, BEBIDAS ANALCOHOLICAS, CONFITES, HELADOS ENVASADOS DE FABRICAS AUTORIZADAS, TE Y CAFE EN TERMOS SELLADOS;DEFINITIVA;18-05-2015;17-05-2016;VIGENTE;521112;ALMACENES MEDIANOS (VENTA DE ALIMENTOS);16214;PAGADO
866008;5;76409333;K;CAFE DEL VIAJE LTDA;ANGAMOS;339;DEPTO;COMERCIAL;04-09-2014;CASA MATRIZ ;OFICINA COMERCIAL DE COMERCIALIZADORA DE ACCESORIOS TELEFONICOS Y ARRIENDO DE INMUEBLES;PROVISORIA;17-04-2015;17-04-2016;VIGENTE;322080;REPARACIÓN DE TRANSMISORES DE RADIO Y TELEVISIÓN, APARATOS PARA TELEFONÍA Y TELEGRAFÍA CON HILOS;22293;GIRADO
861422;9;76409378;K;VM TURISMO E.I.R.L.;SAN ANTONIO;378;OFICINA;COMERCIAL;04-09-2014;CASA MATRIZ ;OFICINA ADMINISTRATIVA DE ASISTENCIA A TURISTAS;DEFINITIVA;08-09-2014;08-09-2015;VIGENTE;630400;AGENCIAS Y ORGANIZADORES DE VIAJES  ACTIVIDADES DE ASISTENCIA A TURISTAS N.C.P.;22293;GIRADO
866662;8;76409384;4;UPITE CONSULTING SERVICES CHILE SPA;MIRAFLORES;178;OFICINA;COMERCIAL;01-12-2014;CASA MATRIZ ;SERVICIOS INTEGRALES DE INFORMATICA Y ASESORIAS EN CONSULTORIAS E INFORMATICA;DEFINITIVA;19-05-2015;18-05-2016;VIGENTE;726000;EMPRESAS DE SERVICIOS INTEGRALES DE INFORMÁTICA;69046;PAGADO
870345;0;76409406;9;ANDREWS HAMILTON ABOGADOS Y CIA LIMITADA;AHUMADA;254;OFICINA;COMERCIAL;03-09-2014;CASA MATRIZ ;OFICINA ADMINISTRATIVA SERVICIOS JURIDICOS;DEFINITIVA;08-10-2015;07-10-2016;VIGENTE;741110;SERVICIOS JURÍDICOS;25439;PAGADO
862222;1;76409457;3;SOCIEDAD FARMACIA BRAVO Y SILVA LIMITADA;ELEUTERIO RAMIREZ;825;LOCAL;COMERCIAL;15-09-2014;CASA MATRIZ ;EXP. CONFITES, FRUTOS DEL PAIS, SUPLEMENTOS ALIMENTARIOS, HIERBAS AROMATICAS PARA INFUSION ENV. FAB. AUT, HUEVOS, ARTICULOS DE TOCADOR Y COSMETICOS, LIBROS ALIMENTICIOS Y DISCOS ESPECIALIZADOS;DEFINITIVA;17-10-2014;17-10-2015;VIGENTE;521900;VENTA AL POR MENOR DE OTROS PRODUCTOS EN PEQUENOS ALMACENES NO ESPECIALIZADOS;69046;PAGADO
867140;0;76409475;1;TRACK RENT SPA;MORANDE;115;OFICINA;COMERCIAL;08-09-2014;CASA MATRIZ ;OFICINA ADMINISTRATIVA;DEFINITIVA;09-06-2015;08-06-2016;VIGENTE;602160;SERVICIOS DE TRANSPORTE DE TRABAJADORES;11147;GIRADO
870291;8;76409497;2;SERVICIOS DE ASESORIAS EN SERVICIOS INFORMATICOS USABILITYCHEFS LTDA;MERCED;838;OFICINA;COMERCIAL;08-09-2014;CASA MATRIZ ;OFICINA ADMINISTRATIVA DE CONSULTORA Y DESARROLLO DE SOFTWARE;DEFINITIVA;07-10-2015;06-10-2016;VIGENTE;726000;EMPRESAS DE SERVICIOS INTEGRALES DE INFORMÁTICA;22293;GIRADO
862887;4;76409511;1;NTS QUALITY SPA;AVENIDA PRESIDENTE BULNES;120;DEPTO;COMERCIAL;08-09-2014;CASA MATRIZ ;OFICINA ADM. DE VENTAS AL POR MENOR DE OTROS PRODUCTOS;DEFINITIVA;19-11-2014;19-11-2015;VIGENTE;519000;VENTA AL POR MAYOR DE OTROS PRODUCTOS N.C.P.;69046;PAGADO
861579;9;76409532;4;GLOBAL COSMETIC CHILE SPA;AGUSTINAS;972;OFICINA;COMERCIAL;08-09-2014;CASA MATRIZ ;OFICINA ADMINISTRATIVA DE COMERCIALIZACION DE PRODUCTOS COSMETICOS;DEFINITIVA;16-09-2014;16-09-2015;VIGENTE;513930;VENTA AL POR MAYOR DE ARTÍCULOS DE PERFUMERÍA, COSMÉTICOS, JABONES Y PRODUCTOS DE LIMPIEZA;69046;GIRADO
870142;3;76409571;5;BUENA CASA LTDA.;CATEDRAL;1233;OFICINA;COMERCIAL;09-09-2014;CASA MATRIZ ;OFICINA DE ASESORIAS EMPRESARIALES Y EN MATERIAS DE GESTION;DEFINITIVA;05-10-2015;04-10-2016;VIGENTE;749990;OTRAS ACTIVIDADES EMPRESARIALES N.C.P.;69046;GIRADO
870535;6;76409622;3;LENTES CLAUDIO MAIER SPA;AHUMADA;131;OFICINA;COMERCIAL;15-10-2015;SUCURSAL EN LA COMUNA ;OFICINA ADMINISTRATIVA DE LENTES DE CONTACTO;DEFINITIVA;16-10-2015;15-10-2016;VIGENTE;332010;FABRICACIÓN Y/O REPARACIÓN DE LENTES Y ARTÍCULOS OFTALMOLÓGICOS;59267;GIRADO
870536;4;76409622;3;LENTES CLAUDIO MAIER SPA;AHUMADA;131;OFICINA;COMERCIAL;15-10-2015;SUCURSAL EN LA COMUNA ;OFICINA ADMINISTRATIVA DE LENTES DE CONTACTO;DEFINITIVA;16-10-2015;15-10-2016;VIGENTE;332010;FABRICACIÓN Y/O REPARACIÓN DE LENTES Y ARTÍCULOS OFTALMOLÓGICOS;63426;GIRADO
870537;2;76409622;3;LENTES CLAUDIO MAIER SPA;AHUMADA;131;OFICINA;COMERCIAL;15-10-2015;SUCURSAL EN LA COMUNA ;OFICINA ADMINISTRATIVA DE LENTES DE CONTACTO;DEFINITIVA;16-10-2015;15-10-2016;VIGENTE;332010;FABRICACIÓN Y/O REPARACIÓN DE LENTES Y ARTÍCULOS OFTALMOLÓGICOS;55090;GIRADO
870538;0;76409622;3;LENTES CLAUDIO MAIER SPA;AHUMADA;131;OFICINA;COMERCIAL;15-10-2015;SUCURSAL EN LA COMUNA ;OFICINA ADMINISTRATIVA DE LENTES  CONTACTO;DEFINITIVA;16-10-2015;15-10-2016;VIGENTE;332010;FABRICACIÓN Y/O REPARACIÓN DE LENTES Y ARTÍCULOS OFTALMOLÓGICOS;67603;GIRADO
861565;9;76409844;7;COMERCIAL ALFA LIMITADA;ALAMEDA L. BERNARDO OHIGGINS;3157;DEPTO;COMERCIAL;11-09-2014;CASA MATRIZ ;IMPORTACION Y COMERCIALIZACION DE PRENDAS DE VESTIR, CALZADOS Y CARTERAS;DEFINITIVA;15-09-2014;15-09-2015;VIGENTE;513100;VENTA AL POR MAYOR DE PRODUCTOS TEXTILES, PRENDAS DE VESTIR Y CALZADO;69046;PAGADO
862995;1;76409855;2;ATENCION Y FORMACION MORFOPSICOLOGICA SPA;LIRA;360;DEPTO;COMERCIAL;12-09-2014;CASA MATRIZ ;OFICINA DE SERVICIOS PROFESIONALES;DEFINITIVA;24-11-2014;24-11-2015;VIGENTE;742190;OTROS SERVICIOS DESARROLLADOS POR PROFESIONALES;22293;PAGADO
862558;1;76409865;K;COMERCIALIZADORA SERGIO MENESES GALDAMES E.I.R.L;HUERFANOS;1160;OFICINA;COMERCIAL;12-09-2014;CASA MATRIZ ;OFICINA ADMINISTRATIVA DE COMERCIALIZACION DE REPUESTOS DE VEHICULOS, FRUTOS DEL PAIS Y SERVICIO AGRICOLA;DEFINITIVA;05-11-2014;25-11-2015;VIGENTE;503000;VENTA DE PARTES, PIEZAS Y ACCESORIOS DE VEHÍCULOS AUTOMOTORES;22293;GIRADO
864031;9;76409868;4;EVZ SPA;HUERFANOS;1160;OFICINA;COMERCIAL;12-09-2014;CASA MATRIZ ;OFICINA ADMINISTRATIVA DE TRANSPORTE DE CARGA, ALQUILER Y VENTA POR MAYOR DE MAQUINARIA;DEFINITIVA;16-01-2015;26-11-2015;VIGENTE;602300;TRANSPORTE DE CARGA POR CARRETERA;22293;GIRADO
869997;6;76409879;K;ATILIO E CELEDON LAGOS PREST DE SERVICIOS PROYECTOS Y MONTAJES ELECTRICOS EIRL;MERCED;838;LOCAL;COMERCIAL;12-09-2014;CASA MATRIZ ;OFICINA ADMINISTRATIVA OBRAS DE INGENIERIA;DEFINITIVA;30-09-2015;29-09-2016;VIGENTE;452020;OBRAS DE INGENIERÍA;22293;PAGADO
783714;3;76409915;K;BURGOS GONZALEZ  SPA;CURICO;416;LOCAL;COMERCIAL;27-08-2014;CASA MATRIZ ;ELABORAC.EMPAREDADOS CALIENTES;DEFINITIVA;09-01-2006;24-11-2016;VIGENTE;552040;SERVICIOS DE COMIDA PREPARADA EN FORMA INDUSTRIAL;22293;GIRADO
871822;9;76410105;7;COMERCIAL Y PRODUCCIONES KMELOT CHILE LIMITADA;ALMIRANTE LATORRE;260;DEPTO;COMERCIAL;16-09-2014;CASA MATRIZ ;OFICINA ADMINISTRATIVA DE VENTA AL MAYOR DE PRODUCTOS TEXTILES, VESTIR Y CALZADO, SERVICIOS DE BANQUETES, BODAS Y OTRAS CELEBRACIONES, VENTA AL POR MENOR DE OTROS PRODUCTOS EN ALMACENES ESPECIALIZADOS N.C.P;PROVISORIA;27-11-2015;26-11-2016;VIGENTE;513100;VENTA AL POR MAYOR DE PRODUCTOS TEXTILES, PRENDAS DE VESTIR Y CALZADO;22293;GIRADO
862203;5;76410129;4;LOGISTICA LOS LIBERTADORES LIMITADA;PEDRO LEON UGALDE;1140;DEPTO;COMERCIAL;17-09-2014;CASA MATRIZ ;OFICINA ADMINISTRATIVA DE CENTRO DE DISTRIBUCION;DEFINITIVA;17-10-2014;17-10-2015;VIGENTE;630200;SERVICIOS DE ALMACENAMIENTO Y DEPÓSITO;22293;PAGADO
873472;0;76410149;9;CONSULTORIA EN DESARROLLO DE SISTEMAS LIMITADA.;SAN ANTONIO;19;OFICINA;COMERCIAL;17-09-2014;CASA MATRIZ ;OFICINA ADMINISTRATIVA EN SISTEMAS.;DEFINITIVA;20-01-2016;18-10-2015;VIGENTE;741400;ACTIVIDADES DE ASESORAMIENTO EMPRESARIAL Y EN MATERIA DE GESTIÓN;0;PAGADO
